Date,District,Market Type,Commercial Type,Quality Grade,Price,, 
2/23/2016,Gampaha,Export,Kanda,Standard,3500,,
2/23/2016,Gampaha,Local,Peedunu,Premium,3500,,
2/23/2016,Gampaha,Local,Peedunu,Standard,3300,,
2/23/2016,Gampaha,Local,Keti,Premium,2500,,
2/23/2016,Gampaha,Local,Keti,Standard,2200,,
2/23/2016,Gampaha,Local,Korikan,Premium,500,,
3/1/2016,Kurunegala,Export,Peedunu,Premium,8000,,
3/1/2016,Kurunegala,Export,Peedunu,Standard,4000,,
3/1/2016,Kurunegala,Export,Kanda,Premium,9000,,
3/1/2016,Kurunegala,Export,Kanda,Standard,4000,,
3/1/2016,Kurunegala,Local,Peedunu,Premium,5000,,
3/1/2016,Kurunegala,Local,Peedunu,Standard,2500,,
3/1/2016,Kurunegala,Local,Keti,Premium,3000,,
3/1/2016,Kurunegala,Local,Keti,Standard,1200,,
3/1/2016,Kurunegala,Local,Korikan,Premium,2000,,
3/1/2016,Kurunegala,Local,Korikan,Standard,800,,
3/1/2016,Gampaha,Export,Peedunu,Premium,6000,,
3/1/2016,Gampaha,Export,Peedunu,Standard,3000,,
3/1/2016,Gampaha,Export,Kanda,Premium,4000,,
3/1/2016,Gampaha,Export,Kanda,Standard,2000,,
3/1/2016,Gampaha,Local,Peedunu,Premium,4000,,
3/1/2016,Gampaha,Local,Peedunu,Standard,3700,,
3/1/2016,Gampaha,Local,Keti,Premium,3500,,
3/1/2016,Gampaha,Local,Keti,Standard,3200,,
3/1/2016,Gampaha,Local,Korikan,Premium,1500,,
3/1/2016,Gampaha,Local,Korikan,Standard,1300,,
3/8/2016,Kurunegala,Export,Peedunu,Premium,7500,,
3/8/2016,Kurunegala,Export,Peedunu,Standard,3000,,
3/8/2016,Kurunegala,Export,Kanda,Premium,8500,,
3/8/2016,Kurunegala,Export,Kanda,Standard,3500,,
3/8/2016,Kurunegala,Local,Peedunu,Premium,5000,,
3/8/2016,Kurunegala,Local,Peedunu,Standard,2300,,
3/8/2016,Kurunegala,Local,Keti,Premium,3000,,
3/8/2016,Kurunegala,Local,Keti,Standard,1200,,
3/8/2016,Kurunegala,Local,Korikan,Premium,2000,,
3/8/2016,Kurunegala,Local,Korikan,Standard,800,,
3/8/2016,Gampaha,Export,Peedunu,Premium,7000,,
3/8/2016,Gampaha,Export,Peedunu,Standard,3500,,
3/8/2016,Gampaha,Export,Kanda,Premium,5000,,
3/8/2016,Gampaha,Export,Kanda,Standard,2500,,
3/8/2016,Gampaha,Local,Peedunu,Premium,3500,,
3/8/2016,Gampaha,Local,Peedunu,Standard,3000,,
3/8/2016,Gampaha,Local,Keti,Premium,2750,,
3/8/2016,Gampaha,Local,Keti,Standard,2500,,
3/8/2016,Gampaha,Local,Korikan,Premium,1500,,
3/8/2016,Gampaha,Local,Korikan,Standard,1500,,
3/15/2016,Kurunegala,Export,Peedunu,Premium,5000,,
3/15/2016,Kurunegala,Export,Peedunu,Standard,4000,,
3/15/2016,Kurunegala,Export,Kanda,Premium,6500,,
3/15/2016,Kurunegala,Export,Kanda,Standard,5000,,
3/15/2016,Kurunegala,Local,Peedunu,Premium,5000,,
3/15/2016,Kurunegala,Local,Peedunu,Standard,2000,,
3/15/2016,Kurunegala,Local,Keti,Premium,2000,,
3/15/2016,Kurunegala,Local,Keti,Standard,1000,,
3/15/2016,Kurunegala,Local,Korikan,Premium,800,,
3/15/2016,Kurunegala,Local,Korikan,Standard,500,,
3/15/2016,Gampaha,Export,Peedunu,Premium,7000,,
3/15/2016,Gampaha,Export,Peedunu,Standard,5000,,
3/15/2016,Gampaha,Export,Kanda,Premium,5000,,
3/15/2016,Gampaha,Export,Kanda,Standard,4000,,
3/15/2016,Gampaha,Local,Peedunu,Premium,3500,,
3/15/2016,Gampaha,Local,Peedunu,Standard,2500,,
3/15/2016,Gampaha,Local,Keti,Premium,2500,,
3/15/2016,Gampaha,Local,Keti,Standard,1800,,
3/15/2016,Gampaha,Local,Korikan,Premium,1000,,
3/15/2016,Gampaha,Local,Korikan,Standard,1000,,
3/21/2016,Kurunegala,Export,Peedunu,Premium,7500,,
3/21/2016,Kurunegala,Export,Peedunu,Standard,4000,,
3/21/2016,Kurunegala,Export,Kanda,Premium,8000,,
3/21/2016,Kurunegala,Export,Kanda,Standard,4000,,
3/21/2016,Kurunegala,Local,Peedunu,Premium,5000,,
3/21/2016,Kurunegala,Local,Peedunu,Standard,2000,,
3/21/2016,Kurunegala,Local,Keti,Premium,3000,,
3/21/2016,Kurunegala,Local,Keti,Standard,1500,,
3/21/2016,Kurunegala,Local,Korikan,Premium,1000,,
3/21/2016,Kurunegala,Local,Korikan,Standard,500,,
3/21/2016,Gampaha,Export,Peedunu,Premium,7000,,
3/21/2016,Gampaha,Export,Peedunu,Standard,4500,,
3/21/2016,Gampaha,Export,Kanda,Premium,6000,,
3/21/2016,Gampaha,Export,Kanda,Standard,4000,,
3/21/2016,Gampaha,Local,Peedunu,Premium,3500,,
3/21/2016,Gampaha,Local,Peedunu,Standard,3000,,
3/21/2016,Gampaha,Local,Keti,Premium,2750,,
3/21/2016,Gampaha,Local,Keti,Standard,2000,,
3/21/2016,Gampaha,Local,Korikan,Premium,600,,
3/21/2016,Gampaha,Local,Korikan,Standard,600,,
3/29/2016,Kurunegala,Export,Peedunu,Premium,7500,,
3/29/2016,Kurunegala,Export,Peedunu,Standard,4000,,
3/29/2016,Kurunegala,Export,Kanda,Premium,8000,,
3/29/2016,Kurunegala,Export,Kanda,Standard,4000,,
3/29/2016,Kurunegala,Local,Peedunu,Premium,4000,,
3/29/2016,Kurunegala,Local,Peedunu,Standard,2000,,
3/29/2016,Kurunegala,Local,Keti,Premium,3000,,
3/29/2016,Kurunegala,Local,Keti,Standard,1500,,
3/29/2016,Kurunegala,Local,Korikan,Premium,800,,
3/29/2016,Kurunegala,Local,Korikan,Standard,400,,
3/29/2016,Gampaha,Export,Peedunu,Premium,8500,,
3/29/2016,Gampaha,Export,Peedunu,Standard,6000,,
3/29/2016,Gampaha,Export,Kanda,Premium,7000,,
3/29/2016,Gampaha,Export,Kanda,Standard,6000,,
3/29/2016,Gampaha,Local,Peedunu,Premium,4000,,
3/29/2016,Gampaha,Local,Peedunu,Standard,3600,,
3/29/2016,Gampaha,Local,Keti,Premium,3000,,
3/29/2016,Gampaha,Local,Keti,Standard,2600,,
3/29/2016,Gampaha,Local,Korikan,Premium,1000,,
3/29/2016,Gampaha,Local,Korikan,Standard,700,,
4/5/2016,Kurunegala,Export,Peedunu,Premium,8000,,
4/5/2016,Kurunegala,Export,Peedunu,Standard,4000,,
4/5/2016,Kurunegala,Export,Kanda,Premium,8500,,
4/5/2016,Kurunegala,Export,Kanda,Standard,4000,,
4/5/2016,Kurunegala,Local,Peedunu,Premium,5000,,
4/5/2016,Kurunegala,Local,Peedunu,Standard,2500,,
4/5/2016,Kurunegala,Local,Keti,Premium,3000,,
4/5/2016,Kurunegala,Local,Keti,Standard,1500,,
4/5/2016,Kurunegala,Local,Korikan,Premium,1000,,
4/5/2016,Kurunegala,Local,Korikan,Standard,500,,
4/5/2016,Gampaha,Export,Peedunu,Premium,8000,,
4/5/2016,Gampaha,Export,Peedunu,Standard,6000,,
4/5/2016,Gampaha,Export,Kanda,Premium,5000,,
4/5/2016,Gampaha,Export,Kanda,Standard,5000,,
4/5/2016,Gampaha,Local,Peedunu,Premium,4500,,
4/5/2016,Gampaha,Local,Peedunu,Standard,4000,,
4/5/2016,Gampaha,Local,Keti,Premium,3500,,
4/5/2016,Gampaha,Local,Keti,Standard,3200,,
4/5/2016,Gampaha,Local,Korikan,Premium,1500,,
4/5/2016,Gampaha,Local,Korikan,Standard,1500,,
4/19/2016,Kurunegala,Export,Peedunu,Premium,7000,,
4/19/2016,Kurunegala,Export,Peedunu,Standard,4000,,
4/19/2016,Kurunegala,Export,Kanda,Premium,8000,,
4/19/2016,Kurunegala,Export,Kanda,Standard,4000,,
4/19/2016,Kurunegala,Local,Peedunu,Premium,5000,,
4/19/2016,Kurunegala,Local,Peedunu,Standard,2000,,
4/19/2016,Kurunegala,Local,Keti,Premium,4000,,
4/19/2016,Kurunegala,Local,Keti,Standard,1500,,
4/19/2016,Kurunegala,Local,Korikan,Premium,1000,,
4/19/2016,Kurunegala,Local,Korikan,Standard,500,,
4/19/2016,Gampaha,Export,Peedunu,Premium,10000,,
4/19/2016,Gampaha,Export,Peedunu,Standard,7000,,
4/19/2016,Gampaha,Export,Kanda,Premium,8000,,
4/19/2016,Gampaha,Export,Kanda,Standard,7000,,
4/19/2016,Gampaha,Local,Peedunu,Premium,6000,,
4/19/2016,Gampaha,Local,Peedunu,Standard,5000,,
4/19/2016,Gampaha,Local,Keti,Premium,3500,,
4/19/2016,Gampaha,Local,Keti,Standard,3200,,
4/19/2016,Gampaha,Local,Korikan,Premium,1800,,
4/19/2016,Gampaha,Local,Korikan,Standard,1800,,
4/26/2016,Kurunegala,Export,Peedunu,Premium,6000,,
4/26/2016,Kurunegala,Export,Peedunu,Standard,3500,,
4/26/2016,Kurunegala,Export,Kanda,Premium,7000,,
4/26/2016,Kurunegala,Export,Kanda,Standard,4000,,
4/26/2016,Kurunegala,Local,Peedunu,Premium,2500,,
4/26/2016,Kurunegala,Local,Peedunu,Standard,1000,,
4/26/2016,Kurunegala,Local,Keti,Premium,1500,,
4/26/2016,Kurunegala,Local,Keti,Standard,800,,
4/26/2016,Kurunegala,Local,Korikan,Premium,1000,,
4/26/2016,Kurunegala,Local,Korikan,Standard,400,,
4/26/2016,Gampaha,Export,Peedunu,Premium,8000,,
4/26/2016,Gampaha,Export,Peedunu,Standard,6000,,
4/26/2016,Gampaha,Export,Kanda,Premium,6000,,
4/26/2016,Gampaha,Export,Kanda,Standard,5000,,
4/26/2016,Gampaha,Local,Peedunu,Premium,5000,,
4/26/2016,Gampaha,Local,Peedunu,Standard,4000,,
4/26/2016,Gampaha,Local,Keti,Premium,3000,,
4/26/2016,Gampaha,Local,Keti,Standard,2500,,
4/26/2016,Gampaha,Local,Korikan,Premium,1100,,
4/26/2016,Gampaha,Local,Korikan,Standard,1100,,
5/3/2016,Kurunegala,Export,Peedunu,Premium,2500,,
5/3/2016,Kurunegala,Export,Peedunu,Standard,1500,,
5/3/2016,Kurunegala,Export,Kanda,Premium,3000,,
5/3/2016,Kurunegala,Export,Kanda,Standard,1500,,
5/3/2016,Kurunegala,Local,Peedunu,Premium,2500,,
5/3/2016,Kurunegala,Local,Peedunu,Standard,1000,,
5/3/2016,Kurunegala,Local,Keti,Premium,1000,,
5/3/2016,Kurunegala,Local,Keti,Standard,500,,
5/3/2016,Kurunegala,Local,Korikan,Premium,800,,
5/3/2016,Kurunegala,Local,Korikan,Standard,400,,
5/3/2016,Gampaha,Export,Peedunu,Premium,8000,,
5/3/2016,Gampaha,Export,Peedunu,Standard,6000,,
5/3/2016,Gampaha,Export,Kanda,Premium,5000,,
5/3/2016,Gampaha,Export,Kanda,Standard,4000,,
5/3/2016,Gampaha,Local,Peedunu,Premium,3500,,
5/3/2016,Gampaha,Local,Peedunu,Standard,3000,,
5/3/2016,Gampaha,Local,Keti,Premium,2500,,
5/3/2016,Gampaha,Local,Keti,Standard,2300,,
5/3/2016,Gampaha,Local,Korikan,Premium,800,,
5/3/2016,Gampaha,Local,Korikan,Standard,800,,
5/10/2016,Kurunegala,Export,Peedunu,Premium,8500,,
5/10/2016,Kurunegala,Export,Peedunu,Standard,4000,,
5/10/2016,Kurunegala,Export,Kanda,Premium,8000,,
5/10/2016,Kurunegala,Export,Kanda,Standard,4000,,
5/10/2016,Kurunegala,Local,Peedunu,Premium,5000,,
5/10/2016,Kurunegala,Local,Peedunu,Standard,2500,,
5/10/2016,Kurunegala,Local,Keti,Premium,3500,,
5/10/2016,Kurunegala,Local,Keti,Standard,1500,,
5/10/2016,Kurunegala,Local,Korikan,Premium,1500,,
5/10/2016,Kurunegala,Local,Korikan,Standard,800,,
5/10/2016,Gampaha,Export,Peedunu,Premium,8000,,
5/10/2016,Gampaha,Export,Peedunu,Standard,7000,,
5/10/2016,Gampaha,Export,Kanda,Premium,5000,,
5/10/2016,Gampaha,Export,Kanda,Standard,4000,,
5/10/2016,Gampaha,Local,Peedunu,Premium,6000,,
5/10/2016,Gampaha,Local,Peedunu,Standard,5000,,
5/10/2016,Gampaha,Local,Keti,Premium,3500,,
5/10/2016,Gampaha,Local,Keti,Standard,2700,,
5/10/2016,Gampaha,Local,Korikan,Premium,1000,,
5/10/2016,Gampaha,Local,Korikan,Standard,800,,
5/17/2016,Kurunegala,Export,Peedunu,Premium,4500,,
5/17/2016,Kurunegala,Export,Peedunu,Standard,2000,,
5/17/2016,Kurunegala,Export,Kanda,Premium,4000,,
5/17/2016,Kurunegala,Export,Kanda,Standard,2000,,
5/17/2016,Kurunegala,Local,Peedunu,Premium,2000,,
5/17/2016,Kurunegala,Local,Peedunu,Standard,1500,,
5/17/2016,Kurunegala,Local,Keti,Premium,1000,,
5/17/2016,Kurunegala,Local,Keti,Standard,400,,
5/17/2016,Kurunegala,Local,Korikan,Premium,400,,
5/17/2016,Kurunegala,Local,Korikan,Standard,200,,
5/17/2016,Gampaha,Export,Peedunu,Premium,8000,,
5/17/2016,Gampaha,Export,Peedunu,Standard,6000,,
5/17/2016,Gampaha,Export,Kanda,Premium,4000,,
5/17/2016,Gampaha,Export,Kanda,Standard,3000,,
5/17/2016,Gampaha,Local,Peedunu,Premium,4000,,
5/17/2016,Gampaha,Local,Peedunu,Standard,3750,,
5/17/2016,Gampaha,Local,Keti,Premium,2500,,
5/17/2016,Gampaha,Local,Keti,Standard,2200,,
5/17/2016,Gampaha,Local,Korikan,Premium,800,,
5/17/2016,Gampaha,Local,Korikan,Standard,800,,
5/24/2016,Kurunegala,Export,Peedunu,Premium,6000,,
5/24/2016,Kurunegala,Export,Peedunu,Standard,2000,,
5/24/2016,Kurunegala,Export,Kanda,Premium,5000,,
5/24/2016,Kurunegala,Export,Kanda,Standard,2000,,
5/24/2016,Kurunegala,Local,Peedunu,Premium,4000,,
5/24/2016,Kurunegala,Local,Peedunu,Standard,1500,,
5/24/2016,Kurunegala,Local,Keti,Premium,1500,,
5/24/2016,Kurunegala,Local,Keti,Standard,800,,
5/24/2016,Kurunegala,Local,Korikan,Premium,800,,
5/24/2016,Kurunegala,Local,Korikan,Standard,400,,
5/24/2016,Gampaha,Export,Peedunu,Premium,6000,,
5/24/2016,Gampaha,Export,Peedunu,Standard,2000,,
5/24/2016,Gampaha,Export,Kanda,Premium,5000,,
5/24/2016,Gampaha,Export,Kanda,Standard,2000,,
5/24/2016,Gampaha,Local,Peedunu,Premium,4000,,
5/24/2016,Gampaha,Local,Peedunu,Standard,1500,,
5/24/2016,Gampaha,Local,Keti,Premium,1500,,
5/24/2016,Gampaha,Local,Keti,Standard,800,,
5/24/2016,Gampaha,Local,Korikan,Premium,800,,
5/24/2016,Gampaha,Local,Korikan,Standard,400,,
5/31/2016,Kurunegala,Export,Peedunu,Premium,7000,,
5/31/2016,Kurunegala,Export,Peedunu,Standard,2000,,
5/31/2016,Kurunegala,Export,Kanda,Premium,5000,,
5/31/2016,Kurunegala,Export,Kanda,Standard,2000,,
5/31/2016,Kurunegala,Local,Peedunu,Premium,5000,,
5/31/2016,Kurunegala,Local,Peedunu,Standard,1500,,
5/31/2016,Kurunegala,Local,Keti,Premium,1000,,
5/31/2016,Kurunegala,Local,Keti,Standard,500,,
5/31/2016,Kurunegala,Local,Korikan,Premium,500,,
5/31/2016,Kurunegala,Local,Korikan,Standard,300,,
5/31/2016,Gampaha,Export,Peedunu,Premium,6500,,
5/31/2016,Gampaha,Export,Peedunu,Standard,4000,,
5/31/2016,Gampaha,Export,Kanda,Premium,4500,,
5/31/2016,Gampaha,Export,Kanda,Standard,3000,,
5/31/2016,Gampaha,Local,Peedunu,Premium,2200,,
5/31/2016,Gampaha,Local,Peedunu,Standard,1500,,
5/31/2016,Gampaha,Local,Keti,Premium,1200,,
5/31/2016,Gampaha,Local,Keti,Standard,1000,,
5/31/2016,Gampaha,Local,Korikan,Premium,200,,
5/31/2016,Gampaha,Local,Korikan,Standard,200,,
6/7/2016,Kurunegala,Export,Peedunu,Premium,5000,,
6/7/2016,Kurunegala,Export,Peedunu,Standard,2000,,
6/7/2016,Kurunegala,Export,Kanda,Premium,6000,,
6/7/2016,Kurunegala,Export,Kanda,Standard,2000,,
6/7/2016,Kurunegala,Local,Peedunu,Premium,4000,,
6/7/2016,Kurunegala,Local,Peedunu,Standard,1500,,
6/7/2016,Kurunegala,Local,Keti,Premium,800,,
6/7/2016,Kurunegala,Local,Keti,Standard,400,,
6/7/2016,Kurunegala,Local,Korikan,Premium,500,,
6/7/2016,Kurunegala,Local,Korikan,Standard,200,,
6/7/2016,Gampaha,Export,Peedunu,Premium,2500,,
6/7/2016,Gampaha,Export,Peedunu,Standard,1500,,
6/7/2016,Gampaha,Export,Kanda,Premium,2500,,
6/7/2016,Gampaha,Export,Kanda,Standard,1500,,
6/7/2016,Gampaha,Local,Peedunu,Premium,1500,,
6/7/2016,Gampaha,Local,Peedunu,Standard,1000,,
6/7/2016,Gampaha,Local,Keti,Premium,800,,
6/7/2016,Gampaha,Local,Keti,Standard,700,,
6/7/2016,Gampaha,Local,Korikan,Premium,500,,
6/7/2016,Gampaha,Local,Korikan,Standard,200,,
6/14/2016,Kurunegala,Export,Peedunu,Premium,4500,,
6/14/2016,Kurunegala,Export,Peedunu,Standard,2000,,
6/14/2016,Kurunegala,Export,Kanda,Premium,5000,,
6/14/2016,Kurunegala,Export,Kanda,Standard,2000,,
6/14/2016,Kurunegala,Local,Peedunu,Premium,4000,,
6/14/2016,Kurunegala,Local,Peedunu,Standard,1500,,
6/14/2016,Kurunegala,Local,Keti,Premium,800,,
6/14/2016,Kurunegala,Local,Keti,Standard,400,,
6/14/2016,Kurunegala,Local,Korikan,Premium,500,,
6/14/2016,Kurunegala,Local,Korikan,Standard,200,,
6/14/2016,Gampaha,Export,Peedunu,Premium,6000,,
6/14/2016,Gampaha,Export,Peedunu,Standard,4000,,
6/14/2016,Gampaha,Export,Kanda,Premium,5000,,
6/14/2016,Gampaha,Export,Kanda,Standard,4000,,
6/14/2016,Gampaha,Local,Peedunu,Premium,2500,,
6/14/2016,Gampaha,Local,Peedunu,Standard,2000,,
6/14/2016,Gampaha,Local,Keti,Premium,1500,,
6/14/2016,Gampaha,Local,Keti,Standard,1300,,
6/14/2016,Gampaha,Local,Korikan,Premium,600,,
6/14/2016,Gampaha,Local,Korikan,Standard,600,,
6/21/2016,Kurunegala,Export,Peedunu,Premium,5000,,
6/21/2016,Kurunegala,Export,Peedunu,Standard,2000,,
6/21/2016,Kurunegala,Export,Kanda,Premium,6000,,
6/21/2016,Kurunegala,Export,Kanda,Standard,2000,,
6/21/2016,Kurunegala,Local,Peedunu,Premium,5000,,
